pathway_id	pathway	pathway_score	geomean	min_edge_score	n_edges	grade_A	grade_B	grade_C	grade_D	edge_details
7	Unique Path #7 (Original #9): EGFR → ERBB2 → GRB2 → LCP2 → SYK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #7 (Original #9): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]; GRB2→LCP2[C:0.38]; LCP2→SYK[A:0.90]
8	Unique Path #8 (Original #10): EGFR → ERBB3 → GRB2 → VAV1 → SYK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #8 (Original #10): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→VAV1[C:0.38]; VAV1→SYK[A:0.90]
12	Unique Path #12 (Original #15): EGFR → ERBB2 → SHC1 → SRC → SYK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #12 (Original #15): EGFR→ERBB2[C:0.38]; ERBB2→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→SYK[A:0.90]
14	Unique Path #14 (Original #18): EGFR → ERBB2 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #14 (Original #18): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]
15	Unique Path #15 (Original #19): EGFR → ERBB3 → GRB2 → ERBB4 → SHC1	0.523	0.585	0.38	4	2	0	2	0	Unique Path #15 (Original #19): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→ERBB4[C:0.38]; ERBB4→SHC1[A:0.90]
16	Unique Path #16 (Original #20): EGFR → SOS1 → GRB2 → VAV1 → SYK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #16 (Original #20): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→VAV1[C:0.38]; VAV1→SYK[A:0.90]
23	Unique Path #23 (Original #38): EGFR → SOS1 → SHC1 → SRC → PXN	0.523	0.585	0.38	4	2	0	2	0	Unique Path #23 (Original #38): EGFR→SOS1[C:0.38]; SOS1→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→PXN[A:0.90]
26	Unique Path #26 (Original #42): EGFR → ERBB2 → GRB2 → VAV1 → SYK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #26 (Original #42): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]; GRB2→VAV1[C:0.38]; VAV1→SYK[A:0.90]
27	Unique Path #27 (Original #45): EGFR → SOS1 → GRB2 → ERBB4 → SHC1	0.523	0.585	0.38	4	2	0	2	0	Unique Path #27 (Original #45): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→ERBB4[C:0.38]; ERBB4→SHC1[A:0.90]
29	Unique Path #29 (Original #52): EGFR → ERBB3 → SHC1	0.523	0.585	0.38	2	1	0	1	0	Unique Path #29 (Original #52): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[A:0.90]
30	Unique Path #30 (Original #55): EGFR → ERBB2 → SHC1	0.523	0.585	0.38	2	1	0	1	0	Unique Path #30 (Original #55): EGFR→ERBB2[C:0.38]; ERBB2→SHC1[A:0.90]
32	Unique Path #32 (Original #60): EGFR → SOS1 → GRB2 → LCP2 → SYK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #32 (Original #60): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→LCP2[C:0.38]; LCP2→SYK[A:0.90]
33	Unique Path #33 (Original #66): EGFR → SOS1 → SHC1	0.523	0.585	0.38	2	1	0	1	0	Unique Path #33 (Original #66): EGFR→SOS1[C:0.38]; SOS1→SHC1[A:0.90]
34	Unique Path #34 (Original #68): EGFR → ERBB3 → SHC1 → SRC → SYK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #34 (Original #68): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→SYK[A:0.90]
36	Unique Path #36 (Original #75): EGFR → ERBB2 → SHC1 → SRC → PXN	0.523	0.585	0.38	4	2	0	2	0	Unique Path #36 (Original #75): EGFR→ERBB2[C:0.38]; ERBB2→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→PXN[A:0.90]
37	Unique Path #37 (Original #83): EGFR → ERBB3 → SHC1 → SRC → PXN	0.523	0.585	0.38	4	2	0	2	0	Unique Path #37 (Original #83): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→PXN[A:0.90]
40	Unique Path #40 (Original #92): EGFR → ERBB2 → GRB2 → ERBB4 → SHC1	0.523	0.585	0.38	4	2	0	2	0	Unique Path #40 (Original #92): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]; GRB2→ERBB4[C:0.38]; ERBB4→SHC1[A:0.90]
41	Unique Path #41 (Original #94): EGFR → SOS1 → GRB2 → ERBB2 → SHC1	0.523	0.585	0.38	4	2	0	2	0	Unique Path #41 (Original #94): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→SHC1[A:0.90]
45	Unique Path #45 (Original #125): EGFR → ERBB3 → GRB2 → ERBB2 → SHC1	0.523	0.585	0.38	4	2	0	2	0	Unique Path #45 (Original #125): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→SHC1[A:0.90]
46	Unique Path #46 (Original #129): EGFR → ERBB3 → GRB2 → LCP2 → SYK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #46 (Original #129): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→LCP2[C:0.38]; LCP2→SYK[A:0.90]
53	Unique Path #53 (Original #221): EGFR → SOS1 → PTPN11	0.523	0.585	0.38	2	1	0	1	0	Unique Path #53 (Original #221): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]
42	Unique Path #42 (Original #105): EGFR → ERBB2 → ERBIN	0.38	0.38	0.38	2	0	0	2	0	Unique Path #42 (Original #105): EGFR→ERBB2[C:0.38]; ERBB2→ERBIN[C:0.38]
